year,origin,destination,submissions
2013,Sudan,USA,2223
2013,Afghanistan,Finland,279
2013,Sudan,Portugal,1
2013,Somalia,Netherlands,9
2013,Iran (Islamic Rep. of),Belgium,1
2013,Dem. Rep. of the Congo,Iceland,1
2013,Sudan,Ireland,5
2013,Syrian Arab Rep.,Netherlands,104
2013,Dem. Rep. of the Congo,New Zealand,9
2013,Dem. Rep. of the Congo,Norway,213
2013,Sudan,New Zealand,4
2013,Eritrea,Canada,1079
2013,Myanmar,Canada,622
2013,Dem. Rep. of the Congo,Ireland,31
2013,Afghanistan,New Zealand,45
2013,Iran (Islamic Rep. of),Netherlands,7
2013,Syrian Arab Rep.,Norway,9
2013,Eritrea,Norway,277
2013,Bhutan,Denmark,122
2013,Sudan,UK,162
2013,Afghanistan,Norway,247
2013,Afghanistan,Portugal,4
2013,Somalia,Iceland,1
2013,Iran (Islamic Rep. of),Germany,147
2013,Afghanistan,Belgium,1
2013,Afghanistan,USA,926
2013,Eritrea,Denmark,3
2013,Iran (Islamic Rep. of),Iceland,4
2013,Dem. Rep. of the Congo,France,21
2013,Syrian Arab Rep.,New Zealand,3
2013,Eritrea,UK,4
2013,Iraq,USA,7409
2013,Iran (Islamic Rep. of),Australia,465
2013,Iraq,Sweden,3
2013,Syrian Arab Rep.,Canada,105
2013,Eritrea,Finland,21
2013,Bhutan,UK,3
2013,Sudan,Australia,88
2013,Afghanistan,France,28
2013,Iran (Islamic Rep. of),Finland,156
2013,Iran (Islamic Rep. of),USA,1169
2013,Sudan,France,19
2013,Iran (Islamic Rep. of),New Zealand,9
2013,Iran (Islamic Rep. of),Denmark,1
2013,Eritrea,New Zealand,29
2013,Somalia,Ireland,5
2013,Dem. Rep. of the Congo,Australia,850
2013,Dem. Rep. of the Congo,Finland,169
2013,Dem. Rep. of the Congo,Portugal,3
2013,Iraq,Canada,2365
2013,Iraq,Australia,2517
2013,Myanmar,Japan,69
2013,Syrian Arab Rep.,Hungary,5
2013,Eritrea,Netherlands,207
2013,Bhutan,Norway,3
2013,Sudan,Finland,187
2013,Afghanistan,Iceland,16
2013,Iran (Islamic Rep. of),France,5
2013,Syrian Arab Rep.,USA,107
2013,Syrian Arab Rep.,Germany,4253
2013,Afghanistan,Canada,241
2013,Afghanistan,Germany,5
2013,Iraq,UK,175
2013,Dem. Rep. of the Congo,Chile,3
2013,Dem. Rep. of the Congo,Sweden,270
2013,Dem. Rep. of the Congo,Netherlands,230
2013,Iran (Islamic Rep. of),Portugal,13
2013,Somalia,USA,7606
2013,Iraq,New Zealand,79
2013,Myanmar,Finland,2
2013,Syrian Arab Rep.,Australia,114
2013,Eritrea,Iceland,1
2013,Afghanistan,Netherlands,5
2013,Sudan,Sweden,75
2013,Afghanistan,Ireland,42
2013,Iran (Islamic Rep. of),UK,2
2013,Dem. Rep. of the Congo,UK,178
2013,Syrian Arab Rep.,Switzerland,21
2013,Dem. Rep. of the Congo,USA,8905
2013,Afghanistan,Australia,2880
2013,Iraq,Switzerland,26
2013,Iraq,Netherlands,167
2013,Iran (Islamic Rep. of),Canada,821
2013,Bhutan,USA,5472
2013,Somalia,Canada,320
2013,Myanmar,New Zealand,262
2013,Myanmar,Norway,11
2013,Iraq,Finland,26
2013,Somalia,Denmark,53
2013,Afghanistan,Denmark,3
2013,Sudan,Canada,191
2013,Iran (Islamic Rep. of),Sweden,15
2013,Iraq,Romania,82
2013,Dem. Rep. of the Congo,Canada,733
2013,Syrian Arab Rep.,Denmark,1
2013,Eritrea,USA,1323
2013,Afghanistan,Sweden,452
2013,Iraq,Germany,349
2013,Iraq,France,15
2013,Syrian Arab Rep.,Austria,32
2013,Somalia,Finland,36
2013,Bhutan,Australia,729
2013,Somalia,France,87
2013,Somalia,New Zealand,19
2013,Myanmar,Netherlands,2
2013,Iraq,Norway,6
2013,Somalia,Norway,246
2013,Sudan,Norway,17
2013,Iran (Islamic Rep. of),Norway,11
2013,Iraq,Portugal,6
2013,Dem. Rep. of the Congo,Belgium,76
2013,Syrian Arab Rep.,Iceland,1
2013,Eritrea,Australia,279
2013,Myanmar,Australia,1880
2013,Somalia,Germany,10
2014,Bhutan,Canada,423
2014,Somalia,USA,8208
2014,Afghanistan,Germany,26
2014,Syrian Arab Rep.,Iceland,14
2014,Sudan,Finland,188
2014,Syrian Arab Rep.,Czechia,11
2014,Somalia,Denmark,43
2014,Myanmar,Denmark,1
2014,Eritrea,New Zealand,15
2014,Afghanistan,Finland,206
2014,Syrian Arab Rep.,Germany,2108
2014,Syrian Arab Rep.,Belgium,96
2014,Afghanistan,USA,1894
2014,Iran (Islamic Rep. of),Finland,2
2014,Iraq,Netherlands,20
2014,Iraq,UK,110
2014,Dem. Rep. of the Congo,UK,253
2014,Dem. Rep. of the Congo,Belgium,85
2014,Bhutan,Australia,17
2014,Dem. Rep. of the Congo,Canada,2409
2014,Iran (Islamic Rep. of),Australia,323
2014,Dem. Rep. of the Congo,New Zealand,4
2014,Sudan,Denmark,37
2014,Iran (Islamic Rep. of),UK,4
2014,Somalia,Finland,41
2014,Myanmar,Finland,1
2014,Iraq,USA,7115
2014,Afghanistan,Iceland,10
2014,Syrian Arab Rep.,Sweden,782
2014,Myanmar,Canada,731
2014,Afghanistan,Norway,292
2014,Iran (Islamic Rep. of),Denmark,4
2014,Iraq,Norway,17
2014,Iraq,Sweden,12
2014,Dem. Rep. of the Congo,Netherlands,100
2014,Bhutan,New Zealand,211
2014,Eritrea,Canada,1488
2014,Iran (Islamic Rep. of),New Zealand,24
2014,Iran (Islamic Rep. of),Iceland,4
2014,Sudan,Canada,300
2014,Eritrea,Finland,3
2014,Somalia,Norway,52
2014,Myanmar,Netherlands,1
2014,Iraq,New Zealand,109
2014,Afghanistan,Netherlands,9
2014,Syrian Arab Rep.,New Zealand,122
2014,Myanmar,Japan,58
2014,Afghanistan,Australia,1167
2014,Iran (Islamic Rep. of),Norway,7
2014,Somalia,New Zealand,82
2014,Somalia,Sweden,372
2014,Syrian Arab Rep.,Austria,457
2014,Dem. Rep. of the Congo,Sweden,214
2014,Bhutan,Denmark,3
2014,Eritrea,Australia,117
2014,Iraq,Australia,1220
2014,Dem. Rep. of the Congo,Switzerland,2
2014,Sudan,Netherlands,14
2014,Iraq,France,9
2014,Myanmar,Sweden,7
2014,Iran (Islamic Rep. of),Canada,784
2014,Sudan,Sweden,8
2014,Iraq,Canada,2990
2014,Iran (Islamic Rep. of),Netherlands,12
2014,Syrian Arab Rep.,France,544
2014,Myanmar,UK,3
2014,Iran (Islamic Rep. of),USA,1434
2014,Iran (Islamic Rep. of),Belgium,1
2014,Somalia,France,13
2014,Somalia,Canada,303
2014,Syrian Arab Rep.,Finland,629
2014,Dem. Rep. of the Congo,Denmark,143
2014,Bhutan,Norway,16
2014,Eritrea,Portugal,14
2014,Myanmar,Germany,16
2014,Sudan,Portugal,8
2014,Syrian Arab Rep.,Switzerland,378
2014,Sudan,UK,1
2014,Syrian Arab Rep.,Brazil,2
2014,Iraq,Germany,75
2014,Iraq,Czechia,9
2014,Iran (Islamic Rep. of),Sweden,16
2014,Syrian Arab Rep.,Portugal,27
2014,Somalia,Netherlands,7
2014,Myanmar,USA,13055
2014,Iran (Islamic Rep. of),France,2
2014,Iraq,Mexico,1
2014,Somalia,UK,215
2014,Syrian Arab Rep.,Spain,202
