year,origin,destination,total
2017,Syrian Arab Rep.,Sweden,1587
2017,Iraq,Switzerland,52
2017,Afghanistan,Norway,3
2017,Myanmar,Rep. of Korea,30
2017,Somalia,France,1
2017,Iraq,New Zealand,10
2017,Syrian Arab Rep.,Germany,2796
2017,Myanmar,Japan,29
2017,Dem. Rep. of the Congo,Australia,371
2017,Syrian Arab Rep.,Switzerland,529
2017,Eritrea,Portugal,2
2017,Iran (Islamic Rep. of),Australia,35
2017,Eritrea,Canada,741
2018,Iraq,Belgium,1
2018,Iraq,Canada,671
2018,Somalia,USA,23
2018,Bhutan,Australia,253
2018,Somalia,Canada,502
2018,Syrian Arab Rep.,Germany,2929
2018,Afghanistan,Finland,6
2018,Iran (Islamic Rep. of),UK,25
2018,Dem. Rep. of the Congo,New Zealand,14
2018,Somalia,New Zealand,15
2018,Dem. Rep. of the Congo,Australia,1311
2018,Syrian Arab Rep.,USA,29
2018,Iraq,USA,33
2018,Eritrea,Netherlands,39
2018,Syrian Arab Rep.,Australia,302
2018,Sudan,Switzerland,5
2018,Iraq,Sweden,43
2018,Sudan,Canada,252
2018,Bhutan,Canada,11
2018,Dem. Rep. of the Congo,Sweden,601
2018,Syrian Arab Rep.,Croatia,88
2018,Sudan,Norway,3
2018,Iran (Islamic Rep. of),Italy,3
2018,Sudan,Sweden,211
2018,Dem. Rep. of the Congo,UK,281
2018,Dem. Rep. of the Congo,Belgium,34
2018,Iran (Islamic Rep. of),France,6
2018,Sudan,UK,227
2018,Somalia,Switzerland,10
2018,Syrian Arab Rep.,Belgium,816
2018,Sudan,Italy,14
2018,Syrian Arab Rep.,Canada,3045
2018,Iraq,Netherlands,5
2018,Bhutan,New Zealand,2
2018,Eritrea,Sweden,376
2018,Syrian Arab Rep.,Italy,314
2018,Iraq,Norway,4
2018,Iran (Islamic Rep. of),Norway,4
2018,Dem. Rep. of the Congo,France,7
2018,Iraq,France,2
2018,Dem. Rep. of the Congo,Netherlands,135
2018,Myanmar,Australia,780
2018,Sudan,USA,56
2018,Eritrea,Finland,59
2018,Eritrea,Belgium,33
2018,Syrian Arab Rep.,Bulgaria,21
2018,Iraq,Iceland,28
2018,Syrian Arab Rep.,Norway,1607
2018,Somalia,UK,130
2018,Bhutan,USA,653
2018,Somalia,Sweden,55
2018,Syrian Arab Rep.,Lithuania,18
2018,Syrian Arab Rep.,Portugal,20
2018,Iran (Islamic Rep. of),Sweden,14
2018,Somalia,France,49
2018,Iraq,Ireland,5
2018,Dem. Rep. of the Congo,Norway,663
2018,Myanmar,Canada,100
2018,Somalia,Belgium,10
2018,Syrian Arab Rep.,Estonia,29
2018,Iraq,Switzerland,1
2018,Syrian Arab Rep.,Sweden,2791
2018,Eritrea,Italy,60
2018,Iran (Islamic Rep. of),New Zealand,8
2018,Afghanistan,USA,774
2018,Syrian Arab Rep.,Netherlands,859
2018,Iran (Islamic Rep. of),USA,11
2018,Afghanistan,Australia,147
2018,Sudan,France,316
2018,Eritrea,Australia,251
2018,Myanmar,Norway,3
2018,Somalia,Finland,8
2018,Dem. Rep. of the Congo,Canada,653
2018,Syrian Arab Rep.,Finland,366
2018,Syrian Arab Rep.,Iceland,14
2018,Afghanistan,UK,40
2018,Eritrea,UK,109
2018,Iraq,New Zealand,7
2018,Afghanistan,Canada,100
2018,Syrian Arab Rep.,New Zealand,230
2018,Iraq,Australia,99
2018,Afghanistan,New Zealand,88
2018,Syrian Arab Rep.,Argentina,3
2018,Somalia,Netherlands,24
2018,Myanmar,New Zealand,229
2018,Myanmar,USA,3588
2018,Eritrea,Germany,238
2018,Dem. Rep. of the Congo,Finland,128
2018,Syrian Arab Rep.,France,4193
2018,Eritrea,Norway,7
2018,Iran (Islamic Rep. of),Australia,96
2018,Sudan,Finland,19
2018,Myanmar,Japan,22
2018,Eritrea,New Zealand,1
2018,Syrian Arab Rep.,Spain,80
2018,Iraq,UK,338
2018,Eritrea,France,148
2018,Syrian Arab Rep.,Ireland,333
2018,Eritrea,Canada,935
2018,Somalia,Australia,33
2018,Somalia,Germany,37
2018,Dem. Rep. of the Congo,USA,8915
2018,Syrian Arab Rep.,UK,4297
2018,Myanmar,Sweden,2
2018,Iran (Islamic Rep. of),Canada,191
2018,Afghanistan,Sweden,270
2018,Myanmar,Rep. of Korea,26
2018,Eritrea,USA,1210
2018,Syrian Arab Rep.,Slovenia,34
2018,Iraq,Germany,1
2018,Eritrea,Switzerland,61
2018,Syrian Arab Rep.,Switzerland,995
2018,Sudan,Netherlands,90
2011,Afghanistan,all,1206
2012,Afghanistan,all,2626
2013,Afghanistan,all,4377
2014,Afghanistan,all,3331
2015,Afghanistan,all,3412
2016,Afghanistan,all,4544
2017,Afghanistan,all,2053
2018,Afghanistan,all,1425
2011,Bhutan,all,18068
2012,Bhutan,all,16674
2013,Bhutan,all,10665
2014,Bhutan,all,8395
2015,Bhutan,all,6332
2016,Bhutan,all,6297
2017,Bhutan,all,3959
2018,Bhutan,all,919
2011,Dem. Rep. of the Congo,all,2032
2012,Dem. Rep. of the Congo,all,2722
2013,Dem. Rep. of the Congo,all,4603
2014,Dem. Rep. of the Congo,all,6245
2015,Dem. Rep. of the Congo,all,10701
2016,Dem. Rep. of the Congo,all,21911
2017,Dem. Rep. of the Congo,all,7733
2018,Dem. Rep. of the Congo,all,12742
2011,Eritrea,all,2836
2012,Eritrea,all,2120
2013,Eritrea,all,1907
2014,Eritrea,all,2386
2015,Eritrea,all,2533
2016,Eritrea,all,2808
2017,Eritrea,all,3195
2018,Eritrea,all,3527
2011,Iran (Islamic Rep. of),all,1910
2012,Iran (Islamic Rep. of),all,2059
2013,Iran (Islamic Rep. of),all,2741
2014,Iran (Islamic Rep. of),all,2814
2015,Iran (Islamic Rep. of),all,2297
2016,Iran (Islamic Rep. of),all,2256
2017,Iran (Islamic Rep. of),all,896
2018,Iran (Islamic Rep. of),all,358
2011,Iraq,all,8677
2012,Iraq,all,13556
2013,Iraq,all,13979
2014,Iraq,all,10985
2015,Iraq,all,7588
2016,Iraq,all,7387
2017,Iraq,all,3414
2018,Iraq,all,1238
2011,Myanmar,all,17899
2012,Myanmar,all,17359
2013,Myanmar,all,16701
2014,Myanmar,all,17596
2015,Myanmar,all,18503
2016,Myanmar,all,13234
2017,Myanmar,all,4791
2018,Myanmar,all,4750
2011,Somalia,all,4636
2012,Somalia,all,6610
2013,Somalia,all,8483
2014,Somalia,all,9929
2015,Somalia,all,8406
2016,Somalia,all,10757
2017,Somalia,all,3119
2018,Somalia,all,896
2011,Sudan,all,547
2012,Sudan,all,1483
2013,Sudan,all,2036
2014,Sudan,all,633
2015,Sudan,all,2092
2016,Sudan,all,1718
2017,Sudan,all,1228
2018,Sudan,all,1193
2011,Syrian Arab Rep.,all,28
2012,Syrian Arab Rep.,all,147
2013,Syrian Arab Rep.,all,1217
2014,Syrian Arab Rep.,all,7021
2015,Syrian Arab Rep.,all,13816
2016,Syrian Arab Rep.,all,47930
2017,Syrian Arab Rep.,all,29788
2018,Syrian Arab Rep.,all,23413
