year,origin,destination,total
2012,Dem. Rep. of the Congo,Germany,1
2012,Afghanistan,Sweden,615
2012,Dem. Rep. of the Congo,USA,1660
2012,Dem. Rep. of the Congo,Denmark,2
2012,Dem. Rep. of the Congo,Norway,16
2012,Afghanistan,France,12
2012,Iran (Islamic Rep. of),Germany,7
2012,Iran (Islamic Rep. of),New Zealand,1
2012,Eritrea,Portugal,1
2012,Iraq,USA,10736
2012,Dem. Rep. of the Congo,Finland,246
2012,Somalia,Australia,76
2012,Eritrea,Norway,234
2012,Syrian Arab Rep.,Switzerland,36
2012,Sudan,Sweden,72
2012,Eritrea,Germany,39
2012,Afghanistan,Netherlands,3
2012,Dem. Rep. of the Congo,France,9
2012,Somalia,UK,161
2012,Dem. Rep. of the Congo,Portugal,1
2012,Iran (Islamic Rep. of),USA,1203
2012,Iran (Islamic Rep. of),France,2
2012,Iraq,Australia,1202
2012,Iraq,Canada,1059
2012,Iraq,Norway,7
2012,Somalia,Switzerland,7
2012,Syrian Arab Rep.,Canada,15
2012,Syrian Arab Rep.,Norway,1
2012,Sudan,Portugal,14
2012,Eritrea,Spain,11
2012,Myanmar,USA,14754
2012,Eritrea,USA,1478
2012,Somalia,Ireland,6
2012,Bhutan,USA,14417
2012,Dem. Rep. of the Congo,Canada,269
2012,Iran (Islamic Rep. of),Belgium,1
2012,Iraq,New Zealand,198
2012,Iraq,Sweden,8
2012,Somalia,USA,5210
2012,Syrian Arab Rep.,Australia,1
2012,Somalia,Norway,116
2012,Eritrea,Italy,7
2012,Myanmar,Norway,172
2012,Sudan,Denmark,4
2012,Iraq,Germany,132
2012,Myanmar,Australia,1644
2012,Eritrea,Canada,86
2012,Sudan,Canada,15
2012,Bhutan,Canada,1067
2012,Dem. Rep. of the Congo,Sweden,21
2012,Iran (Islamic Rep. of),UK,1
2012,Iran (Islamic Rep. of),Hungary,1
2012,Afghanistan,Finland,244
2012,Somalia,Canada,631
2012,Dem. Rep. of the Congo,UK,184
2012,Somalia,Finland,10
2012,Iraq,UK,84
2012,Myanmar,Denmark,104
2012,Sudan,Finland,7
2012,Somalia,Germany,43
2012,Myanmar,Netherlands,93
2012,Eritrea,Sweden,151
2012,Bhutan,Australia,624
2012,Sudan,New Zealand,6
2012,Afghanistan,UK,3
2012,Afghanistan,Norway,211
2012,Somalia,Sweden,295
2012,Dem. Rep. of the Congo,Ireland,20
2012,Somalia,France,7
2012,Iraq,Finland,62
2012,Myanmar,Czechia,25
2012,Sudan,Norway,58
2012,Sudan,Germany,59
2012,Myanmar,Canada,126
2012,Eritrea,Australia,86
2012,Bhutan,Denmark,128
2012,Myanmar,New Zealand,299
2012,Somalia,Denmark,45
2012,Syrian Arab Rep.,Finland,1
2012,Afghanistan,Iceland,9
2012,Iran (Islamic Rep. of),Netherlands,7
2012,Sudan,USA,1086
2012,Myanmar,Finland,107
2012,Afghanistan,New Zealand,21
2012,Iran (Islamic Rep. of),Canada,496
2012,Syrian Arab Rep.,USA,34
2012,Myanmar,Sweden,35
2012,Afghanistan,Canada,464
2012,Sudan,Spain,35
2012,Afghanistan,Australia,582
2012,Eritrea,Finland,8
2012,Bhutan,UK,146
2013,Myanmar,Denmark,17
2013,Iran (Islamic Rep. of),Germany,116
2013,Eritrea,Switzerland,1
2013,Dem. Rep. of the Congo,USA,2512
2013,Iraq,Finland,18
2013,Dem. Rep. of the Congo,Denmark,29
2013,Bhutan,UK,99
2013,Iran (Islamic Rep. of),Australia,420
2013,Afghanistan,Germany,1
2013,Somalia,USA,6426
2013,Iraq,Sweden,4
2013,Eritrea,Finland,45
2013,Afghanistan,Ireland,31
2013,Iran (Islamic Rep. of),Albania,197
2013,Afghanistan,USA,641
2013,Sudan,New Zealand,8
2013,Afghanistan,Canada,214
2013,Sudan,Germany,1
2013,Eritrea,USA,980
2013,Syrian Arab Rep.,Netherlands,14
2013,Eritrea,Netherlands,85
2013,Bhutan,Norway,3
2013,Iran (Islamic Rep. of),New Zealand,4
2013,Dem. Rep. of the Congo,Chile,3
2013,Somalia,Canada,750
