Year,Country of Origin (ISO),origin,Country of Resettlement (ISO),destination,submissions
2011,SYR,Syrian Arab Rep.,USA,United States of America,57
2011,BTN,Bhutan,NLD,Netherlands,101
2011,AFG,Afghanistan,FRA,France,38
2011,AFG,Afghanistan,NOR,Norway,284
2011,IRQ,Iraq,SWE,Sweden,40
2011,MMR,Myanmar,NOR,Norway,184
2011,SYR,Syrian Arab Rep.,AUS,Australia,1
2012,SOM,Somalia,PRT,Portugal,3
2012,SYR,Syrian Arab Rep.,NZL,New Zealand,1
2012,ERI,Eritrea,DNK,Denmark,60
2012,AFG,Afghanistan,FRA,France,59
2012,COD,Dem. Rep. of the Congo,DNK,Denmark,12
2012,BTN,Bhutan,DNK,Denmark,147
2012,SDN,Sudan,CHE,Switzerland,1
2012,SOM,Somalia,CAN,Canada,1246
2012,SYR,Syrian Arab Rep.,USA,United States of America,16
2012,SYR,Syrian Arab Rep.,CAN,Canada,11
2012,ERI,Eritrea,ESP,Spain,4
2012,COD,Dem. Rep. of the Congo,SWE,Sweden,54
2012,SDN,Sudan,PRT,Portugal,19
2012,SYR,Syrian Arab Rep.,CHE,Switzerland,1
2012,COD,Dem. Rep. of the Congo,FRA,France,1
2012,COD,Dem. Rep. of the Congo,DEU,Germany,1
2012,ERI,Eritrea,PRT,Portugal,2
2012,AFG,Afghanistan,ISL,Iceland,25
2012,SDN,Sudan,DNK,Denmark,5
2012,BTN,Bhutan,GBR,United Kingdom of Great Britain and Northern Ireland,101
2012,AFG,Afghanistan,PRT,Portugal,1
2012,SOM,Somalia,NZL,New Zealand,24
2012,COD,Dem. Rep. of the Congo,NLD,Netherlands,45
2012,SOM,Somalia,FRA,France,28
2012,ERI,Eritrea,FRA,France,2
2012,ERI,Eritrea,USA,United States of America,768
2012,MMR,Myanmar,AUS,Australia,1949
2012,SDN,Sudan,NOR,Norway,27
2012,BTN,Bhutan,USA,United States of America,8241
2012,AFG,Afghanistan,CAN,Canada,449
2012,MMR,Myanmar,NOR,Norway,181
2012,IRN,Iran (Islamic Rep. of),SWE,Sweden,21
2012,ERI,Eritrea,DEU,Germany,55
2012,IRQ,Iraq,USA,United States of America,6392
2012,IRN,Iran (Islamic Rep. of),IRL,Ireland,5
2012,IRQ,Iraq,SWE,Sweden,26
2012,BTN,Bhutan,NZL,New Zealand,60
2012,IRN,Iran (Islamic Rep. of),DEU,Germany,12
2012,SOM,Somalia,SWE,Sweden,535
2012,COD,Dem. Rep. of the Congo,NOR,Norway,54
2012,SOM,Somalia,AUS,Australia,38
2012,SYR,Syrian Arab Rep.,AUS,Australia,2
2012,ERI,Eritrea,CAN,Canada,198
2012,MMR,Myanmar,CAN,Canada,219
2012,AFG,Afghanistan,USA,United States of America,838
2012,MMR,Myanmar,DNK,Denmark,122
2012,AFG,Afghanistan,SWE,Sweden,484
2012,ERI,Eritrea,CHE,Switzerland,1
2012,IRQ,Iraq,CAN,Canada,582
2012,IRN,Iran (Islamic Rep. of),FIN,Finland,120
2012,MMR,Myanmar,NZL,New Zealand,222
2012,BTN,Bhutan,NOR,Norway,19
2012,IRN,Iran (Islamic Rep. of),GBR,United Kingdom of Great Britain and Northern Ireland,4
2012,SDN,Sudan,USA,United States of America,1943
2012,SOM,Somalia,NLD,Netherlands,7
2012,COD,Dem. Rep. of the Congo,AUS,Australia,437
2012,COD,Dem. Rep. of the Congo,GBR,United Kingdom of Great Britain and Northern Ireland,318
2012,ERI,Eritrea,SWE,Sweden,293
2012,AFG,Afghanistan,NZL,New Zealand,38
2012,IRN,Iran (Islamic Rep. of),AUS,Australia,319
2012,AFG,Afghanistan,NLD,Netherlands,51
2012,MMR,Myanmar,CZE,Czechia,63
2012,MMR,Myanmar,SWE,Sweden,1
2012,IRQ,Iraq,DEU,Germany,160
2012,IRQ,Iraq,DNK,Denmark,6
2012,IRN,Iran (Islamic Rep. of),FRA,France,7
2012,SOM,Somalia,DNK,Denmark,70
2012,SOM,Somalia,IRL,Ireland,2
2012,IRN,Iran (Islamic Rep. of),PRT,Portugal,2
2012,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,96
2012,SDN,Sudan,NLD,Netherlands,10
2012,ERI,Eritrea,NOR,Norway,62
2012,COD,Dem. Rep. of the Congo,IRL,Ireland,20
2012,ERI,Eritrea,AUS,Australia,325
2012,ERI,Eritrea,NZL,New Zealand,14
2012,IRN,Iran (Islamic Rep. of),NZL,New Zealand,9
2012,COD,Dem. Rep. of the Congo,USA,United States of America,4198
2012,COD,Dem. Rep. of the Congo,PRT,Portugal,1
2012,AFG,Afghanistan,AUS,Australia,2230
2012,SOM,Somalia,DEU,Germany,62
2012,IRQ,Iraq,NOR,Norway,18
2012,SYR,Syrian Arab Rep.,NOR,Norway,3
2012,SDN,Sudan,CAN,Canada,43
2012,AFG,Afghanistan,DNK,Denmark,2
2012,IRN,Iran (Islamic Rep. of),CAN,Canada,526
2012,IRQ,Iraq,FRA,France,1
2012,SDN,Sudan,AUS,Australia,146
2012,IRN,Iran (Islamic Rep. of),NLD,Netherlands,11
2012,SOM,Somalia,NOR,Norway,289
2012,MMR,Myanmar,FIN,Finland,155
2012,ERI,Eritrea,FIN,Finland,45
2012,IRQ,Iraq,AUS,Australia,3275
2012,IRN,Iran (Islamic Rep. of),USA,United States of America,1453
2012,BTN,Bhutan,CAN,Canada,575
